a52dec 0.7.4-11
galculator 2.1.4-5
garcon 4.16.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.40.0-1
gd 2.3.2-4
gdb 10.2-2
gdb-common 10.2-2
gdbm 1.20-1
gdk-pixbuf2 2.42.6-2
geany 1.37.1-1
geoclue 2.5.7-3
geocode-glib 3.26.2-1
gettext 0.21-1
ghc 8.10.5-1
ghc-libs 8.10.5-1
ghostscript 9.54.0-2
giblib 1.2.4-8
giflib 5.2.1-2
git 2.33.0-1
gitahead-bin 2.6.3-2
gitfiend 0.28.0-1
gitg 1:3.32.1+17+gb4c8155f-2
gitkraken 7.7.2-2
gksu 2.0.2-6
glew 2.2.0-2
glib-networking 1:2.68.2-1
glib-perl 1.329.3-2
glib2 2.68.4-1
glibc 2.33-5
glibmm 2.66.1-2
glibmm-2.68 2.68.1-2
glslang 11.6.0-1
glu 9.0.2-1
gmp 6.2.1-1
gmrun 1.2w-1
gnome-bluetooth 3.34.5-2
gnome-desktop 1:40.4-1
gnome-disk-utility 40.2-1
gnome-keyring 1:40.0-1
gnome-menus 3.36.0-1
gnome-screenshot 40.0-2
gnome-themes-extra 3.28-2
gnu-netcat 0.7.1-8
gnupg 2.2.29-1
gnutls 3.7.2-2
gobject-introspection 1.68.0-1
gobject-introspection-runtime 1.68.0-1
gocryptfs 2.1-1
google-chrome 93.0.4577.63-1
gpart 0.3-4
gparted 1.3.1-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
grantlee 5.2.0-3
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
grub-customizer 5.1.0-2
gsettings-desktop-schemas 40.0-3
gsettings-qt 0.1.20170110-3
gsfonts 20200910-2
gsimplecal 2.2-1
gsm 1.0.19-1
gspell 1.8.4-1
gssdp 1.2.3-1
gssproxy 0.8.4-1
gst-libav 1.18.4-1
gst-plugins-bad 1.18.4-11
gst-plugins-bad-libs 1.18.4-11
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gstreamer 1.18.4-1
gtk-update-icon-cache 1:4.4.0-1
gtk2 2.24.33-2
gtk2-perl 1.24993-3
gtk3 1:3.24.30-2
gtk4 1:4.4.0-1
gtkmm 1:2.24.5-4
gtkmm-4.0 4.2.0-2
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtkspell3 3.0.10-2
guile 2.2.7-1
gupnp 1.2.7-1
gupnp-igd 1.2.0-1
gutenprint 5.3.4-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gwenview 21.08.1-1
gzip 1.11-1
halo-icons-git 2.3-1
hardcode-fixer-git 1:r545.ba5d874-1
hardinfo 0.5.1.816.g877ea2b-2
harfbuzz 2.9.0-1
harfbuzz-icu 2.9.0-1
haskell-adjunctions 4.4-243
haskell-aeson 1.5.6.0-32
haskell-alsa-core 0.5.0.1-15
haskell-alsa-mixer 0.3.0-71
haskell-appar 0.1.8-11
haskell-asn1-encoding 0.9.6-117
haskell-asn1-parse 0.9.5-117
haskell-asn1-types 0.3.4-96
haskell-assoc 1.0.2-85
haskell-async 2.2.3-47
haskell-attoparsec 0.14.1-16
haskell-base-compat 0.11.2-5
haskell-base-compat-batteries 0.11.2-124
haskell-base-orphans 0.8.4-111
haskell-base64-bytestring 1.2.0.1-60
haskell-basement 0.0.12-2
haskell-bifunctors 5.5.11-10
haskell-blaze-builder 0.4.2.1-3
haskell-blaze-html 0.9.1.2-116
haskell-blaze-markup 0.8.2.8-22
haskell-byteable 0.1.1-23
haskell-byteorder 1.0.4-22
haskell-call-stack 0.3.0-40
haskell-case-insensitive 1.2.1.0-96
haskell-cereal 0.5.8.1-10
haskell-comonad 5.0.8-89
haskell-conduit 1.3.4.1-25
haskell-conduit-extra 1.3.5-140
haskell-connection 0.3.1-130
haskell-contravariant 1.5.3-3
haskell-cookie 0.4.5-10
haskell-cryptonite 0.29-10
haskell-data-default 0.7.1.1-153
haskell-data-default-class 0.1.2.0-22
haskell-data-default-instances-containers 0.0.1-34
haskell-data-default-instances-dlist 0.0.1-166
haskell-data-default-instances-old-locale 0.0.1-34
haskell-data-fix 0.3.1-32
haskell-dbus 1.2.21-34
haskell-distributive 0.6.2.1-93
haskell-dlist 1.0-89
haskell-extensible-exceptions 0.1.1.4-34
haskell-free 5.1.7-12
haskell-hashable 1.3.2.0-11
haskell-hinotify 0.4.1-64
haskell-hourglass 0.2.12-139
haskell-http 4000.3.16-35
haskell-http-client 0.7.8-16
haskell-http-client-tls 0.3.5.3-428
haskell-http-conduit 2.3.8-44
haskell-http-types 0.12.3-167
haskell-indexed-traversable 0.1.1-4
haskell-indexed-traversable-instances 0.1-25
haskell-integer-logarithms 1.0.3.1-4
haskell-invariant 0.5.4-73
